행정구,갈비/삼겹살,곱창/양구이전문,기사식당,기타고기요리,냉면집,닭/오리요리,돌솥/비빕밥전문점,두부요리전문,버섯전문점,별식/퓨전요리,보리밥전문,부대찌개/섞어찌개,부페,분식,설렁탕집,순두부전문,쌈밥전문,양식,유흥주점,음식배달서비스,일식/수산물,재첩국전문,제과제빵떡케익,족발/보쌈전문,중식,추어탕전문,커피점/카페,파전전문,패스트푸드,한식/백반/한정식,한정식전문,해장국/감자탕,황태전문,총생활인구수_평일,10대 미만 생활인구_평일,10대 생활인구_평일,20~30대 생활인구_평일,40~50대 생활인구_평일,60대 생활인구_평일,70대 이상 생활인구_평일,총생활인구수_주말,10대 미만 생활인구_주말,10대 생활인구_주말,20~30대 생활인구_주말,40~50대 생활인구_주말,60대 생활인구_주말,70대 이상 생활인구_주말,대학교(전체),일반대학,온라인대학,초중고(전체),초등학교,중학교,고등학교,총인구수,총가구수,가구당인구수,평균소득금액,상권변화지표,운영점포영업개월,폐업점포영업개월,10대 미만,10대,20 ~ 30대,40 ~ 50대,60대,70대 이상,총인구,역(전체),역(환승역)
강남구,301,79,3,65,37,340,7,3,0,224,2,64,47,751,33,10,0,1288,924,11,993,1,485,90,335,10,2191,8,548,2884,18,71,2,20498275.2579,1219101.72222,1989315.16944,7353310.719099999,6772561.70775,1644169.28057,1519816.64388,16948124.099,1217987.10454,2040832.32107,5402778.03188,5467812.76786,1426357.06638,1392356.80668,1,1,0,76,31,23,22,517582,215304,2.4,12484.671287727273,LL,114,51,33039,60155,147884,180804,61167,51939,534988,33,18
강동구,174,56,1,25,29,270,2,3,1,97,6,28,25,439,13,1,3,153,493,4,352,0,254,59,117,13,764,11,272,992,3,57,4,11811347.9167,1002137.716805,1215699.43378,3062175.00442,3721769.47487,1422660.94304,1386905.34482,12060115.1811,958418.69183,1185945.8585,3253976.39292,3853940.6569,1431569.67381,1376263.90381,0,0,0,60,27,19,14,476385,190847,2.5,6100.191842105263,LL,115,52,33211,39020,130022,147455,67493,47289,464490,12,2
강북구,102,56,4,22,13,213,4,3,0,69,8,21,7,312,7,2,0,94,424,3,193,0,140,64,75,11,384,6,152,968,6,39,1,6666287.3934,443206.29153,561804.80548,1753008.358,2060718.05045,838362.94544,1009186.95025,6967054.624299999,432662.82386999996,567218.946,1905867.0060999999,2177785.84833,861906.3628700001,1021613.62956,1,0,1,34,14,13,7,299535,131884,2.27,3581.261923076923,LL,115,52,13243,20362,78696,94561,47245,44515,298622,11,0
강서구,188,55,2,36,27,328,4,5,0,134,5,32,19,519,15,5,2,347,619,1,490,0,296,77,208,11,1134,5,322,1482,10,62,4,12857469.4754,1006538.36708,1045185.49858,4138327.6576799997,3929851.02129,1365295.31891,1372271.60873,12781437.1097,992754.21801,1035002.81389,4177876.1137300003,3849582.0939,1357696.18585,1368525.67343,2,2,0,80,35,22,23,564854,247202,2.28,5034.876,LL,102,52,34702,43165,184028,173825,79738,60355,575813,23,8
관악구,146,48,1,27,18,252,0,5,0,100,2,18,12,417,15,2,2,259,589,3,330,0,180,50,123,8,720,3,225,1033,7,45,2,10935067.111,541420.3047,753512.22876,4559442.35013,2941770.3048,1031022.68298,1107899.23671,11314142.18,539593.1264,722306.92421,4828861.50647,3050488.3623200003,1053628.67571,1119263.58552,1,1,0,55,22,16,17,502641,259822,1.93,5369.149682380953,LL,118,54,19106,27057,204193,134898,60985,54511,500750,9,2
광진구,185,38,3,26,21,221,2,4,0,95,6,18,13,415,17,3,1,219,455,1,338,0,200,52,164,7,837,10,236,943,2,45,2,8521857.9184,542640.9878,775721.13593,3082523.9641,2499279.79,844321.35418,777370.68732,8658519.7629,524705.95883,766201.79577,3202564.7984,2545624.1269,846676.39679,772746.68558,3,3,0,43,22,12,9,353967,160944,2.2,5643.548666666667,LL,116,54,17359,25131,123028,106294,45120,34141,351073,11,4
구로구,163,45,0,13,19,280,5,6,1,105,4,19,16,391,11,2,6,109,580,3,235,0,172,49,247,14,585,7,219,954,5,47,0,9917976.037800001,755447.5029290001,762442.496531,3055360.45331,3218678.4398,1100938.05705,1025109.0812,9699249.0511,748086.790698,749469.914978,2935715.06985,3127164.9329,1109574.73761,1029237.61189,3,3,0,54,26,14,14,435442,182636,2.38,4003.36875,HL,124,54,25890,29422,119016,133415,60825,48002,416570,13,5
금천구,122,30,1,34,12,178,3,6,0,82,0,15,14,267,12,3,2,98,343,1,172,0,118,34,135,12,489,3,130,715,2,34,0,5400775.3084,262970.707492,298905.20937,1957323.73468,1810954.88829,587212.63517,483408.1275,4747337.4332,266757.18281,298223.14151,1632474.66327,1523991.00241,552247.33042,473644.11916,0,0,0,33,18,9,6,249419,115254,2.16,4208.728,LL,116,54,11848,14124,77606,76374,36827,27093,243872,4,2
노원구,136,45,0,20,16,307,3,3,0,83,3,21,8,394,10,6,6,135,365,6,243,0,236,56,124,9,606,9,280,797,3,28,2,11668057.7231,904334.1685,1502149.11586,2985051.75285,3489817.15142,1337196.80714,1449508.7179699999,11916610.1722,857305.65298,1416076.36745,3110071.78796,3733547.8062,1353508.09338,1446100.46823,7,7,0,93,42,26,25,511982,204210,2.51,3808.1968421052634,LL,113,53,29100,49687,133684,166527,71351,59337,509686,16,6
도봉구,95,40,2,41,13,184,2,6,0,57,6,14,12,262,7,1,1,82,243,1,176,0,134,33,67,12,389,10,135,533,5,30,2,6240794.161,461734.96967,584273.86556,1514226.13962,1906227.78113,849503.8554,924827.5470100001,6531154.7731,446679.80053,573713.5308899999,1640697.54256,2039714.95736,885508.55846,944840.39672,1,1,0,46,23,13,10,315979,128378,2.46,3728.1692857142853,LL,115,53,15953,23787,79509,100618,51773,43244,314884,8,4
