행정구,행정동,갈비/삼겹살,닭/오리요리,분식,양식,유흥주점,일식/수산물,제과제빵떡케익,커피점/카페,패스트푸드,한식/백반/한정식,총생활인구수_평일,10대 미만 생활인구_평일,10대 생활인구_평일,20~30대 생활인구_평일,40~50대 생활인구_평일,60대 생활인구_평일,70대 이상 생활인구_평일,총생활인구수_주말,10대 미만 생활인구_주말,10대 생활인구_주말,20~30대 생활인구_주말,40~50대 생활인구_주말,60대 생활인구_주말,70대 이상 생활인구_주말,대학교(전체),일반대학,온라인대학,초중고(전체),초등학교,중학교,고등학교,총인구수,총가구수,가구당인구수,평균소득금액,상권변화지표,운영점포영업개월,폐업점포영업개월,10대 미만,10대,20 ~ 30대,40 ~ 50대,60대,70대 이상,총인구,역(전체),역(환승역)
종로구,청운효자동,4,4,27,34,11,9,12,50,7,71,442579.2181,36890.66627,59721.67251,118156.8022,136514.381,41904.34735,49391.3498,447607.5454,31067.87931,44347.3536,129714.7136,145618.4261,45975.08244,50884.09214,1,1,0,6,1,2,3,11680,4715,2.48,5918.11,LH,107.0,62.0,703,1134,3081,4020,1419,1530,11887,0,0
종로구,사직동,13,14,51,66,37,41,24,131,14,207,661216.666,20794.60346,30301.91251,248640.5309,253453.8445,57569.56687,50456.20774,480448.597,26871.44381,33437.56351,162617.9146,156707.8158,50622.25653,50191.60188,0,0,0,1,1,0,0,8705,3969,2.19,6334.0325,HH,135.0,62.0,532,681,2643,3037,1212,1274,9379,2,0
종로구,삼청동,1,0,17,42,10,9,7,95,8,49,136737.9628,4350.119023,11496.49443,46901.51971,46193.60565,14393.21275,13403.01152,136689.7339,5577.2774,10146.91644,49880.92931,43118.94821,15346.33134,12619.33076,0,0,0,2,0,1,1,2433,1065,2.28,5499.561429,LH,105.0,58.0,121,218,646,814,432,428,2659,1,0
종로구,부암동,1,3,12,25,6,8,13,54,10,27,345738.9314,21123.46386,45104.07425,93415.85532,104282.9734,39364.52067,42448.04404,333707.8092,17655.70934,34937.31624,83895.52676,112291.4361,40618.80274,44309.01901,1,1,0,4,2,1,1,9666,3901,2.48,5256.25,LH,103.0,62.0,453,844,2575,3184,1311,1223,9590,0,0
종로구,평창동,4,5,17,18,13,10,7,51,7,41,426374.0894,26428.81486,45665.26199,92648.95199,138908.729,60519.324,62203.00899,456256.3544,28486.92466,44148.96949,98373.24814,156083.8062,64282.0907,64881.31729,0,0,0,1,0,0,1,17379,6398,2.72,8318.69,HH,129.0,62.0,1119,1550,4381,5911,2715,2276,17952,0,0
종로구,무악동,2,3,5,0,4,1,4,10,5,8,161839.5665,12083.63201,19277.46185,38557.93507,47518.81601,20792.90879,23608.81255,157829.8985,12300.4034,18494.1864,37051.94543,47949.15225,20030.40104,22003.81176,0,0,0,1,1,0,0,8082,2899,2.79,4367.37,HH,131.0,71.0,594,943,1721,2792,1048,986,8084,0,0
종로구,교남동,3,7,9,5,3,5,2,13,1,13,178119.7757,15434.71625,18375.27353,45861.49155,59889.42245,17608.71822,20950.15295,170998.0642,13964.45088,17471.90421,44396.8801,57388.23154,17134.6274,20641.97053,0,0,0,2,0,1,1,10027,4174,2.4,5030.56,HH,143.0,65.0,788,824,2691,3438,1188,1119,10048,1,0
종로구,가회동,2,4,17,34,9,7,7,69,6,49,196391.3257,8654.676355,22930.15213,62682.01704,69635.9527,15871.61848,16616.90949,163936.3216,8441.107063,14717.18145,55424.81995,53783.41039,15464.72736,16105.077,0,0,0,4,1,1,2,4169,1782,2.34,5812.8675,LH,112.0,62.0,190,308,997,1405,581,605,4086,0,0
종로구,"종로1,2,3,4가동",44,39,135,130,141,116,38,308,37,463,1692674.692,27404.16905,46521.18619,662313.1635,639349.1366,170536.2792,146550.7573,1176016.434,43262.28983,59049.5129,486298.2176,350378.3793,123049.7492,113978.2849,1,1,0,2,2,0,0,6707,3978,1.69,5719.915517,HH,158.0,70.0,350,408,2586,2670,1382,1123,8519,4,3
종로구,"종로5,6가동",13,15,30,10,55,21,7,54,5,120,460408.2197,4575.314777,16159.20372,147647.2378,173409.9788,64478.12165,54138.36216,313590.7684,4978.61545,17919.69144,105747.9876,99717.25001,44434.58794,40792.63441,0,0,0,1,1,0,0,5456,2835,1.92,3923.768,HH,148.0,69.0,92,208,2249,1450,778,732,5509,2,1
종로구,이화동,6,10,18,39,17,13,12,71,14,73,615495.1421,16148.5417,33129.70836,259787.0241,196114.4832,52934.66164,57380.7233,477070.5821,14321.99726,33012.79518,215020.0748,132242.7584,38913.73266,43559.22269,2,1,1,2,1,1,0,8241,4172,1.98,3938.353333,LH,111.0,59.0,215,368,3216,1990,912,928,7629,0,0
종로구,혜화동,20,20,43,32,46,22,15,92,31,94,809151.451,30211.51082,110888.6022,385830.3592,175520.1649,49969.31283,56731.50128,794503.8048,29568.41145,95468.17999,380735.1614,184788.365,48722.02788,55221.66104,0,0,0,7,1,2,4,21183,10402,2.04,5352.621667,LL,119.0,55.0,589,1433,9127,4419,1678,1944,19190,1,0
종로구,창신1동,5,14,11,9,16,7,2,18,5,34,209990.0898,3571.720009,7476.063914,62081.5001,79380.4864,31838.22964,25642.08911,183725.7474,4827.954075,8400.9961,54522.13799,62367.79593,28695.34696,24911.51823,0,0,0,1,1,0,0,5791,2787,2.08,3468.01,HH,142.0,69.0,137,216,1647,1650,1032,756,5438,1,1
종로구,창신2동,5,4,11,1,8,9,2,11,1,30,228163.1546,6248.379445,12231.05082,61398.03068,80306.93192,35264.12928,32714.63126,232676.9862,7381.107575,13928.74921,65388.40015,78293.28631,35077.53689,32607.90708,0,0,0,0,0,0,0,9369,4116,2.28,3468.01,HH,141.0,66.0,214,413,2650,2865,1490,1184,8816,0,0
종로구,창신3동,0,3,2,0,3,0,1,5,2,3,115876.25,9417.442573,12389.69467,29492.11496,36898.76005,14683.0912,12995.14591,117965.3504,8790.068638,11024.49724,31185.54906,39233.06715,15170.08105,12562.08724,0,0,0,2,1,0,1,6773,2670,2.54,3468.01,LH,121.0,57.0,340,455,1878,2099,1050,802,6624,1,0
종로구,숭인1동,1,2,5,1,3,2,2,4,5,13,180614.216,8823.171136,9699.209841,51832.35773,62186.38355,23947.99334,24125.10009,185282.8966,8411.337038,10006.2465,55945.64338,62006.36066,24033.6153,24879.69403,0,0,0,0,0,0,0,6110,2793,2.19,3917.41,HH,136.0,63.0,221,360,1695,2038,944,796,6054,1,1
종로구,숭인2동,7,9,9,4,24,3,6,20,6,33,305733.2977,7475.534818,12940.35188,107535.935,101642.6138,40872.9048,35265.95761,321237.6571,9952.84195,13513.0961,114953.5521,98271.20831,44817.3549,39729.60358,0,0,0,0,0,0,0,9520,5413,1.76,3917.41,HL,138.0,51.0,243,366,4622,2840,1395,1069,10535,1,1
중구,소공동,12,17,36,40,37,45,32,135,23,153,852915.7461,31158.44431,36602.46308,348694.0248,344187.3426,58209.08426,34064.38763,441887.83,28252.63046,21818.31389,171519.0183,151651.8846,41915.97166,26730.01075,0,0,0,4,1,1,2,2461,1101,2.24,6555.4,HH,165.0,72.0,262,269,1139,1343,336,169,3518,2,2
중구,회현동,11,15,56,30,29,20,33,114,15,111,722570.1411,7005.789959,14947.61795,274546.9338,292516.7963,74010.64887,59542.35445,418803.7594,13540.86155,17781.31241,144198.0561,148176.2348,51897.71336,43209.5815,0,0,0,0,0,0,0,4668,2200,2.12,7377.964444,HH,171.0,73.0,231,272,1174,1684,1050,835,5246,2,1
중구,명동,30,29,54,58,49,60,15,189,27,187,1086869.316,17697.39506,31959.32179,498620.9872,422547.325,71310.62384,44733.66373,568791.7083,25223.28726,31515.76315,246334.6687,176812.4465,52320.64199,36584.89995,0,0,0,1,1,0,0,2794,1220,2.29,9192.548,HH,164.0,60.0,130,187,1198,1129,563,499,3706,2,0
중구,필동,8,9,35,28,56,18,6,76,16,91,365474.0541,9850.442045,29541.00039,161140.7747,112419.8437,28038.72257,24483.26964,231129.5329,9660.515,18410.62294,93737.21636,65846.43881,22185.40075,21289.33954,2,2,0,4,3,0,1,4955,2283,2.17,4662.44,HH,147.0,62.0,174,204,1993,1098,622,561,4652,2,2
중구,장충동,1,4,8,17,8,13,8,29,6,34,320512.0161,5737.411682,17533.92229,146368.2021,102015.6504,27774.97983,21081.84973,281862.9025,9229.98225,20671.35715,118597.1039,85902.14093,26113.81473,21348.50226,0,0,0,0,0,0,0,5989,3076,1.95,5001.513333,HH,144.0,66.0,173,343,2419,1243,574,575,5327,1,0
중구,광희동,11,12,40,32,48,28,18,77,16,138,621376.394,8253.9824,24174.89225,258223.0114,223342.4894,61635.54071,45746.47854,441921.6171,11429.44526,25301.79156,194942.9201,136157.3639,41148.26171,32941.83326,0,0,0,1,0,1,0,6141,3392,1.81,4007.166,HH,169.0,61.0,158,261,2841,1676,876,775,6587,3,3
중구,을지로동,5,8,44,29,82,25,12,82,8,130,521847.5241,6340.554841,9408.429677,177907.724,218464.9269,63309.21384,46416.67566,259811.1745,5373.4636,9998.2961,106102.2374,80173.85504,31365.67615,26797.64585,0,0,0,0,0,0,0,1847,1203,1.54,4282.371,HH,172.0,76.0,37,41,722,461,366,275,1902,4,4
중구,신당동,11,12,36,19,24,16,8,49,18,74,615703.8659,9727.997727,20544.06354,242359.6169,223420.7178,67830.66801,51820.80169,430379.4146,10391.75601,16933.7197,170769.3129,144501.8698,47049.67729,40733.07914,0,0,0,5,1,1,3,9342,4887,1.91,3788.846667,HH,137.0,68.0,303,317,3655,2654,1174,1015,9118,5,4
중구,다산동,6,14,20,9,16,7,13,44,4,48,373579.5346,22717.51496,24318.38785,127349.2513,114720.1617,40912.20857,43562.01129,348377.2463,20686.28496,22760.57625,119468.8939,103378.3434,39876.31156,42206.83596,0,0,0,4,1,2,1,14279,6562,2.18,4103.73,HH,125.0,59.0,511,773,4669,4140,2035,1894,14022,2,2
중구,약수동,1,10,19,2,15,12,9,18,9,28,340240.4812,22499.27997,18732.16794,96599.39374,105256.7574,42639.01795,54513.8632,354110.0892,26242.96441,20276.99974,101569.0589,110379.9389,42248.84093,53392.28535,0,0,0,0,0,0,0,16398,7012,2.34,4103.73,HH,128.0,60.0,947,934,4255,5109,2687,2695,16627,0,0
중구,청구동,5,5,4,8,9,5,5,13,7,22,266238.5442,24960.39852,23524.51751,74667.81306,78041.52825,30067.59161,34976.69444,256403.1509,19774.72295,20077.24905,76476.7822,77459.13779,28693.06123,33922.19761,0,0,0,4,2,1,1,13579,5884,2.31,4103.73,LH,119.0,56.0,679,818,4038,4058,2046,1922,13561,0,0
